X,Y,Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr,ul
-780630.855599999,-986681.580200002,100,"Pražská 206, Bílina 41801",49621173,BENU,BENU Lékárna,Pražská 206/95,41801,Bílina,,,2015,"Pražská 206, Bílina 41801",Pražská
-780630.855599999,-986681.580200002,100,"Pražská 206, Bílina 41801",49086979,,Lékárna U polikliniky,Pražská 206,41801,Bílina,Teplice,Severní Čechy,1999,"Pražská 206, Bílina 41801",Pražská
-464965.241300002,-1094122.9268,100,"Čáslavská 1176, Bohumín 73581",25319141,Agel,LÉKÁRNA AGEL,Čáslavská 1176,73581,Bohumín,,,2015,"Čáslavská 1176, Bohumín 73581",Čáslavská
-464965.241300002,-1094122.9268,100,"Čáslavská 1176, Bohumín 73581",61988243,,Lékárna CLARA,Čáslavská 1176,73581,Bohumín,Karviná,Severní Morava,1999,"Čáslavská 1176, Bohumín 73581",Čáslavská
-599454.065200001,-1153129.0256,96.25,"Hradecká 408, Brno 62100",26230071,Dr.Max,Dr.Max LÉKÁRNA,Hradecká 40,62100,Brno,,,2015,"Hradecká 40, Brno 62100",Hradecká
-599454.065200001,-1153129.0256,96.25,"Hradecká 408, Brno 62100",49969650,,Lékárna GLOBUS,Hradecká 40,62100,Brno,Brno-město,Jižní Morava,1999,"Hradecká 40, Brno 62100",Hradecká
-604334.9846,-1157207.7756,100,"Kubíčkova 6, Brno 63500",26230071,Dr.Max,Dr.Max LÉKÁRNA,Kubíčkova 6,63500,Brno,,,2015,"Kubíčkova 6, Brno 63500",Kubíčkova
-604334.9846,-1157207.7756,100,"Kubíčkova 6, Brno 63500",48510173,,Lékárna Akát,Kubíčkova 6,63500,Brno,Brno-město,Jižní Morava,1999,"Kubíčkova 6, Brno 63500",Kubíčkova
-600210.374499999,-1157946.3588,100,"Makovského náměstí 3147, Brno 61600",49621173,BENU,BENU Lékárna,Makovského náměstí 3147/2,61600,Brno,,,2015,"Makovského náměstí 3147, Brno 61600",Makovského
-600210.374499999,-1157946.3588,100,"Makovského náměstí 2, Brno 61600",64291634,,Lékárna U RUBÍNU,Makovského náměstí 2,61600,Brno,Brno-město,Jižní Morava,1999,"Makovského náměstí 2, Brno 61600",Makovského
-601597.2421,-1163391.0258,100,"U pošty 14, Brno 62500",26230071,Dr.Max,Dr.Max LÉKÁRNA,U Pošty 14,62500,Brno,,,2015,"U Pošty 14, Brno 62500",U
-601597.2421,-1163391.0258,100,"U pošty 14, Brno 62500",60744880,,"Lékárna NOVA PHARM CS, s.r.o.",U pošty 14,62500,Brno,Brno-město,Jižní Morava,1999,"U pošty 14, Brno 62500",U
-601110.454700001,-1004622.7156,88,"třída Masarykova 30, Broumov 55001",25839136,Plzeňská lékárna,Lékárna Broumov,Masarykova 30,55001,Broumov,,,2015,"Masarykova 30, Broumov 55001",Masarykova
-601110.454700001,-1004622.7156,88,"třída Masarykova 30, Broumov 55001",25275321,,"Lékárna  4MM, s.r.o.",Masarykova 30,55001,Broumov,Náchod,Východní Čechy,1999,"Masarykova 30, Broumov 55001",Masarykova
-601445.171999998,-1080879.9284,100,"Masarykova 1293, Česká Třebová 56002",49621173,BENU,BENU Lékárna,Masarykova 1293,56002,Česká Třebová,,,2015,"Masarykova 1293, Česká Třebová 56002",Masarykova
-601445.171999998,-1080879.9284,100,"Masarykova 1293, Česká Třebová 56002",49317547,,Lékárna Arnika,Masarykova 1293,56002,Česká Třebová,Ústí nad Orlicí,Východní Čechy,1999,"Masarykova 1293, Česká Třebová 56002",Masarykova
-757081.4771,-1164373.2758,100,"Fr. Ondříčka 1088, České Budějovice 37011",25216791,Devětsil JST,Lékárna Samaritán,Fr. Ondříčka 1088/2,37011,České Budějovice,,,2015,"Fr. Ondříčka 1088, České Budějovice 37011",Fr.
-757081.4771,-1164373.2758,100,"Fr. Ondříčka 2, České Budějovice 37011",61775916,,Lékárna Čtyřlístek Vltava,Fr. Ondříčka 2,37011,České Budějovice,České Budějovice,Jižní Čechy,1999,"Fr. Ondříčka 2, České Budějovice 37011",Fr.
-755520.578499999,-1165882.3644,97,"Na Sadech 2033, České Budějovice 37001",26230071,Dr.Max,Dr.Max LÉKÁRNA,Na Sadech 23,37001,České Budějovice,,,2015,"Na Sadech 23, České Budějovice 37001",Na
-755520.578499999,-1165882.3644,97,"Na Sadech 2033, České Budějovice 37001",60066326,,Lékárna SEVER  [APOTHEKA s.r.o],Na Sadech 23,37001,České Budějovice,České Budějovice,Jižní Čechy,1999,"Na Sadech 23, České Budějovice 37001",Na
-755897.537900001,-1165049.9761,90,"Pražská tř. 71, České Budějovice 37004",26230071,Dr.Max,Dr.Max LÉKÁRNA,Pražská 71,37004,České Budějovice,,,2015,"Pražská 71, České Budějovice 37004",Pražská
-755897.537900001,-1165049.9761,90,"Pražská tř. 71, České Budějovice 37004",60072776,,Lékárna,Pražská 71,37004,České Budějovice,České Budějovice,Jižní Čechy,1999,"Pražská 71, České Budějovice 37004",Pražská
-755660.819400001,-1166486.7682,100,"Senovážné nám. 1616, České Budějovice 37001",49621173,BENU,BENU Lékárna,Senovážné nám. 1616,37001,České Budějovice,,,2015,"Senovážné nám. 1616, České Budějovice 37001",Senovážné
-755660.819400001,-1166486.7682,100,"Senovážné nám. 1616, České Budějovice 37001",60066326,,Lékárna U muzea,Senovážné nám. 1616,37001,České Budějovice,České Budějovice,Jižní Čechy,1999,"Senovážné nám. 1616, České Budějovice 37001",Senovážné
-769811.416000001,-1182020.3382,85,"T. G. Masaryka 212, Český Krumlov 38101",26230071,Dr.Max,Dr.Max LÉKÁRNA,T.G.Masaryka 212,38101,Český Krumlov,,,2015,"T.G.Masaryka 212, Český Krumlov 38101",T.G.Masaryka
-769811.416000001,-1182020.3382,85,"T. G. Masaryka 212, Český Krumlov 38101",14500183,,Lékárna Na Špičáku,T.G.Masaryka 212,38101,Český Krumlov,Český Krumlov,Jižní Čechy,1999,"T.G.Masaryka 212, Český Krumlov 38101",T.G.Masaryka
-447020.4232,-1113447.8756,100,"Hlavní třída 43, Český Těšín 73701",25319141,Agel,LÉKÁRNA AGEL,Hlavní třída 43/34,73701,Český Těšín,,,2015,"Hlavní třída 43, Český Těšín 73701",Hlavní
-447020.4232,-1113447.8756,90,"Hlavní třída 34, Český Těšín 73701",63730545,,Lékárna U Salvatora,Hlavní 34,73701,Český Těšín,Karviná,Severní Morava,1999,"Hlavní 34, Český Těšín 73701",Hlavní
-616073.041099999,-1068263.7116,100,"Smetanova 830, Choceň 56501",25839136,Plzeňská lékárna,Lékárna Na Poliklinice,Smetanova 830,56501,Choceň,,,2015,"Smetanova 830, Choceň 56501",Smetanova
-616073.041099999,-1068263.7116,100,"Smetanova 830, Choceň 56501",25297651,,"Lékárna TILIA Choceň, s.r.o.",Smetanova 830,56501,Choceň,Ústí nad Orlicí,Východní Čechy,1999,"Smetanova 830, Choceň 56501",Smetanova
-616088.8818,-1068765.8406,100,"T. G. Masaryka 623, Choceň 56501",49621173,BENU,BENU Lékárna,T. G. Masaryka 623,56501,Choceň,,,2015,"T. G. Masaryka 623, Choceň 56501",T.
-616088.8818,-1068765.8406,100,"T. G. Masaryka 623, Choceň 56501",47498617,,Lékárna U anděla strážce,T. G. Masaryka 623,56501,Choceň,Ústí nad Orlicí,Východní Čechy,1999,"T. G. Masaryka 623, Choceň 56501",T.
-647544.082199998,-1070341.8222,100,"Masarykovo náměstí 55, Chrudim 53701",26230071,Dr.Max,Dr.Max LÉKÁRNA,Masarykovo náměstí 55,53701,Chrudim,,,2015,"Masarykovo náměstí 55, Chrudim 53701",Masarykovo
-647481.972800002,-1070353.8177,NA,,49807277,,Lékárna PHARMA,Masarykovo nám. 55,53701,Chrudim,Chrudim,Východní Čechy,1999,"Masarykovo nám. 55, Chrudim 53701",Masarykovo
-859611.426899999,-1098412.4171,100,"Kostelní 168, Domažlice 34401",49621173,BENU,BENU Lékárna,Kostelní 168,34401,Domažlice,,,2015,"Kostelní 168, Domažlice 34401",Kostelní
-859611.426899999,-1098412.4171,100,"Kostelní 168, Domažlice 34401",49204378,,Lékárna Pod věží,Kostelní 168,34401,Domažlice,Domažlice,Západní Čechy,1999,"Kostelní 168, Domažlice 34401",Kostelní
-478389.4833,-1133160.4677,100,"Rožnovská 240, Frenštát pod Radhoštěm 74401",26230071,Dr.Max,Dr.Max LÉKÁRNA,Rožnovská 240,74401,Frenštát pod Radhoštěm,,,2015,"Rožnovská 240, Frenštát pod Radhoštěm 74401",Rožnovská
-478389.4833,-1133160.4677,100,"Rožnovská 240, Frenštát pod Radhoštěm 74401",60336552,,Výdejna prostředků zdravot.techniky,Rožnovská 240,74401,Frenštát pod Radhoštěm,Nový Jičín,Severní Morava,1999,"Rožnovská 240, Frenštát pod Radhoštěm 74401",Rožnovská
-667090.607700001,-1106870.1162,100,"Dolní 100, Havlíčkův Brod 58001",26230071,Dr.Max,Dr.Max LÉKÁRNA,Dolní 100,58001,Havlíčkův Brod,,,2015,"Dolní 100, Havlíčkův Brod 58001",Dolní
-667090.607700001,-1106870.1162,100,"Dolní 100, Havlíčkův Brod 58001",46485929,,Ústavní lékárna U Zlaté Lilie,Dolní 100,58001,Havlíčkův Brod,Havlíčkův Brod,Východní Čechy,1999,"Dolní 100, Havlíčkův Brod 58001",Dolní
-757740.997400001,-1157086.7469,100,"Masarykova 1, Hluboká nad Vltavou 37341",49621173,BENU,BENU Lékárna,Masarykova 1,37341,Hluboká nad Vltavou,,,2015,"Masarykova 1, Hluboká nad Vltavou 37341",Masarykova
-757740.997400001,-1157086.7469,100,"Masarykova 1, Hluboká nad Vltavou 37341",62536109,,Lékárna,Masarykova 1,37341,Hluboká nad Vltavou,České Budějovice,Jižní Čechy,1999,"Masarykova 1, Hluboká nad Vltavou 37341",Masarykova
-642039.811299998,-1041775.6826,90,"Dukelská třída 479, Hradec Králové 50002",26230071,Dr.Max,Dr.Max LÉKÁRNA,Dukelská 479,50002,Hradec Králové,,,2015,"Dukelská 479, Hradec Králové 50002",Dukelská
-642039.811299998,-1041775.6826,90,"Dukelská třída 479, Hradec Králové 50002",48154083,,"Lékárna SALVIA, s.r.o.",Dukelská 479,50002,Hradec Králové,Hradec Králové,Východní Čechy,1999,"Dukelská 479, Hradec Králové 50002",Dukelská
