X,Y,Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr
-742659.99599999934,-1042784.004900001,100,"Dlouhá 9, Praha 11000",60432403,,Lékárna Dr.Kunčického,Dlouhá 9,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Dlouhá 9, Praha 11000"
-742849.99689999968,-1043304.0009999983,100,"Havelská 14, Praha 11000",25149997,,Lékárna U červeného orla,Havelská 14,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Havelská 14, Praha 11000"
-741931.52690000087,-1043192.8044,100,"Hybernská 24, Praha 11000",64926737,,Lékárna u Masarykova nádraží,Hybernská 24,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Hybernská 24, Praha 11000"
-742414.00910000131,-1043491.5115999989,100,"Jindřišská 11, Praha 11000",61265683,,Lékárna U palmy,Jindřišská 11,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Jindřišská 11, Praha 11000"
-742854.92469999939,-1043802.8231999986,100,"Jungmannova 11, Praha 11000",49276409,,Lékárna Jungmannova,Jungmannova 11,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Jungmannova 11, Praha 11000"
-743345.99980000034,-1043477.0040999986,95.2,"Karoliny Světlé 1013, Praha 11000",18650589,,Lékárna U rotundy,Karolíny Světlé 11,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Karolíny Světlé 11, Praha 11000"
-742141.99689999968,-1042580.001600001,100,"Klimentská 9, Praha 11000",64764249,,Lékárna Klimentská,Klimentská 9,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Klimentská 9, Praha 11000"
-742980.8284999989,-1043087.604699999,97,"Malé náměstí 143, Praha 11000",47124733,,"Lékárna U zlaté koruny, S.D.I., s.r.o.",Malé náměstí 13,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Malé náměstí 13, Praha 11000"
-743149.09760000184,-1043634.4952999987,100,"Mikulandská 7, Praha 11000",25141929,,"Lékárna Gloria, CANCER, s.r.o.",Mikulandská 7,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Mikulandská 7, Praha 11000"
-743337.34820000082,-1044036.452199999,100,"Myslíkova 9, Praha 11000",25132679,,Lékárna U svatého Vojtěcha,Myslíkova 9,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Myslíkova 9, Praha 11000"
