Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr,PNTCNT
100.000000000000000,"Těšnov 5, Praha 11000",49688596,INPHARMA,"INPHARMA, s.r.o.",Těšnov 5,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Těšnov 5, Praha 11000",436
100.000000000000000,"V tůních 1, Praha 12000",49688596,INPHARMA,"INPHARMA, s.r.o.",V Tůních 1,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"V Tůních 1, Praha 12000",971
100.000000000000000,"Olšanská 7, Praha 13000",64580768,Červený bod,"Lékárna Alvisa, Červený bod, s.r.o.",Olšanská 7,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Olšanská 7, Praha 13000",429
100.000000000000000,"U lékárny 598, Praha 15600",64580768,Červený bod,"Lékárna U školy, Červený bod, s.r.o.",U lékárny 598,15600,Praha 5 Zbraslav,Praha 5,Hl.m.Praha,1999,"U lékárny 598, Praha 15600",177
100.000000000000000,"Chlumecká 765, Praha 19800",64580768,Červený bod,"Lékárna Centrum, Červený bos, s.r.o.",Chlumecká 765,19800,Praha 9,Praha 9,Hl.m.Praha,1999,"Chlumecká 765, Praha 19800",196
100.000000000000000,"Doležalova 1021, Praha 19800",49688596,INPHARMA,Lékárna Černý Most,Doležalova 1021,19800,Praha 9,Praha 9,Hl.m.Praha,1999,"Doležalova 1021, Praha 19800",648
100.000000000000000,"Tyršova 3222, Kladno 27201",64580768,Červený bod,"Lékárna Omega, Červený bod, s.r.o.",Tyršova 3222,27201,Kladno,Kladno,Střední Čechy,1999,"Tyršova 3222, Kladno 27201",348
100.000000000000000,"Masarykova 1102, Lysá nad Labem 28922",49688596,INPHARMA,Lékárna U výstaviště,Masarykova 1102,28922,Lysá nad Labem,Nymburk,Střední Čechy,1999,"Masarykova 1102, Lysá nad Labem 28922",163
100.000000000000000,"Klášterská 72, Jindřichův Hradec 37701",64580768,Červený bod,"Lék. V Klášterské, Červený bod, s.r.o.",Klášterská 72,37701,Jindřichův Hradec,Jindřichův Hradec,Jižní Čechy,1999,"Klášterská 72, Jindřichův Hradec 37701",271
100.000000000000000,"Legií 765, Nová Paka 50901",64580768,Červený bod,"Lékárna Gaia, Červený bod, s.r.o.",Legií 765,50901,Nová Paka,Jičín,Východní Čechy,1999,"Legií 765, Nová Paka 50901",164
100.000000000000000,"Fügnerova 51, Vrchlabí 54301",64580768,Červený bod,"Lékárna u nemocnice,Červený bod,s.r.o.",Fügnerova 51,54301,Vrchlabí,Trutnov,Východní Čechy,1999,"Fügnerova 51, Vrchlabí 54301",184
96.250000000000000,"Oblá 75, Brno 63400",49688596,INPHARMA,"INPHARMA, s.r.o.",Oblá 75a,63400,Brno,Brno-město,Jižní Morava,1999,"Oblá 75a, Brno 63400",553
100.000000000000000,"Masarykovo náměstí 37, Vyškov 68201",49688596,INPHARMA,Tillova lékárna  U černého orla,Masarykovo náměstí 37,68201,Vyškov,Vyškov,Jižní Morava,1999,"Masarykovo náměstí 37, Vyškov 68201",353
,,64580768,Červený bod,"Císařská lékárna, Červený bod, s.r.o.",Karlovo nám. 30,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Karlovo nám. 30, Praha 12000",853
,,49688596,INPHARMA,"INPHARMA, s.r.o.",Zdislavická 538,14200,Praha 12,Praha 4,Hl.m.Praha,1999,"Zdislavická 538, Praha 14200",835
,,64580768,Červený bod,"Lékárna Jaro, Červený bod, s.r.o.",Hypermarket Globus,15500,Praha 5 Zličín,Praha 5,Hl.m.Praha,1999,"Hypermarket Globus , Praha 15500",45
