Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr,PNTCNT
100.000000000000000,"Červené Vršky 2217, Benešov 25601",26306662,BRL Center CZ,"BRL Center CZ s.r.o., A lékárna v Kauflandu",Červené vršky 2217,25601,Benešov,Benešov,Středočeský kraj,2007,"Červené vršky 2217, Benešov 25601",75
100.000000000000000,"Fr. Ondříčka 2, České Budějovice 37011",61775916,ALIPEX,"ALIPEX s.r.o., Lékárna Čtyřlístek",Fr. Ondříčka 2,37011,České Budějovice,České Budějovice,Jihočeský kraj,2007,"Fr. Ondříčka 2, České Budějovice 37011",386
90.000000000000000,"Lannova tř. 21, České Budějovice 37001",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Vltava",Lannova 21/50,37001,České Budějovice,České Budějovice,Jihočeský kraj,2007,"Lannova 21, České Budějovice 37001",461
90.000000000000000,"Lidická tř. 29, České Budějovice 37001",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Na Lidické",Lidická 29,37001,České Budějovice,České Budějovice,Jihočeský kraj,2007,"Lidická 29, České Budějovice 37001",486
100.000000000000000,"Na Sádkách 1444, České Budějovice 37005",26230071,Dr.Max,"Česká lékárna a.s., Dr. Max Lékárna",Na Sádkách 1444,37005,České Budějovice,České Budějovice,Jihočeský kraj,2007,"Na Sádkách 1444, České Budějovice 37005",17
100.000000000000000,"nám. Přemysla Otakara II. 88, České Budějovice 37001",49688596,Lékárny Lloyds,"Lékárny Lloyds s.r.o., Lékárna U Bílého orla",nám. Přemysla Otakara II. 88/26,37001,České Budějovice,České Budějovice,Jihočeský kraj,2007,"nám. Přemysla Otakara II. 88, České Budějovice 37001",413
100.000000000000000,"Novohradská 1452, České Budějovice 37001",25216791,Devětsil JST,"Devětsil JST s.r.o., Lékárna Samaritan",Novohradská 1452/1,37001,České Budějovice,České Budějovice,Jihočeský kraj,2007,"Novohradská 1452, České Budějovice 37001",269
90.000000000000000,"Pražská tř. 24, České Budějovice 37004",27145131,Eurolékárna,"Eurolékárna s.r.o., Lékárna Na Pražské",Pražská 24/1247,37004,České Budějovice,České Budějovice,Jihočeský kraj,2007,"Pražská 24, České Budějovice 37004",759
100.000000000000000,"Tyršova 724, Zliv 37344",25216791,Devětsil JST,"Devětsil JST s.r.o., Lékárna",Tyršova 724,37344,Zliv,České Budějovice,Jihočeský kraj,2007,"Tyršova 724, Zliv 37344",204
98.569999999999993,"Msgre. B. Staška 2, Domažlice 34401",27145131,Eurolékárna,"Eurolékárna s.r.o., Lékárna",Msgr. B. Staška 2,34401,Domažlice,Domažlice,Plzeňský kraj,2007,"Msgr. B. Staška 2, Domažlice 34401",230
100.000000000000000,"Pivovarská 21, Cheb 35002",26230071,Dr.Max,"Česká lékárna a.s., Dr. Max Lékárna",Pivovarská 21/2396,35002,Cheb,Cheb,Karlovarský kraj,2007,"Pivovarská 21, Cheb 35002",298
100.000000000000000,"Svobody 3, Cheb 35002",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Centrum",Svobody 3/502,35002,Cheb,Cheb,Karlovarský kraj,2007,"Svobody 3, Cheb 35002",612
100.000000000000000,"Oblouková 4, Děčín 40502",26306662,BRL Center CZ,"BRL Center CZ s.r.o., A lékárna v Kauflandu",Oblouková 4,40502,Děčín,Děčín,Ústecký kraj,2007,"Oblouková 4, Děčín 40502",209
100.000000000000000,"Mimoňská 3090, Česká Lípa 47001",26230071,Dr.Max,"Česká lékárna, a.s., Lékárna Kaufland",Mimoňská 3090,47001,Česká Lípa,Česká Lípa,Liberecký kraj,2007,"Mimoňská 3090, Česká Lípa 47001",193
100.000000000000000,"Jeronýmova 750, Hradec Králové 50002",49688596,Lékárny Lloyds,"Lékárny Lloyds s.r.o., Na poliklinice",Jeronýmova 750,50002,Hradec Králové,Hradec Králové,Královéhradecký kraj,2007,"Jeronýmova 750, Hradec Králové 50002",748
100.000000000000000,"Pilnáčkova 436, Hradec Králové 50003",26306662,BRL Center CZ,"BRL Center CZ s.r.o., A lékárna v Kauflandu",Pilnáčkova 436/11,50003,Hradec Králové,Hradec Králové,Královéhradecký kraj,2007,"Pilnáčkova 436, Hradec Králové 50003",147
100.000000000000000,"třída Karla IV. 468, Hradec Králové 50002",49688596,Lékárny Lloyds,"Lékárny Lloyds s.r.o., Lékárna DONNA",třída Karla IV. 468,50002,Hradec Králové,Hradec Králové,Královéhradecký kraj,2007,"třída Karla IV. 468, Hradec Králové 50002",657
100.000000000000000,"Nádražní 548, Hlinsko 53901",49688596,Lékárny Lloyds,"Lékárny Lloyds s.r.o., Lékárna Na poliklinice",Nádražní 548,53901,Hlinsko,Chrudim,Pardubický kraj,2007,"Nádražní 548, Hlinsko 53901",74
100.000000000000000,"Palackého třída 183, Chrudim 53701",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Nová poliklinika",Palackého třída 183,53701,Chrudim,Chrudim,Pardubický kraj,2007,"Palackého třída 183, Chrudim 53701",560
100.000000000000000,"Obvodová 3313, Kroměříž 76701",26230071,Dr.Max,"Česká lékárna a.s., Dr. Max Lékárna",Obvodová 3313,76701,Kroměříž,Kroměříž,Zlínský kraj,2007,"Obvodová 3313, Kroměříž 76701",316
100.000000000000000,"Obchodní 250, Beroun 26601",26306662,BRL Center CZ,"BRL Center CZ s.r.o., A lékárna v Kauflandu",Obchodní 250,26601,Beroun,Beroun,Středočeský kraj,2007,"Obchodní 250, Beroun 26601",182
100.000000000000000,"Politických vězňů 40, Beroun 26601",49621173,EUROPHARM,"EUROPHARM a.s., Centrální lékárna",Politických vězňů 40,26601,Beroun,Beroun,Středočeský kraj,2007,"Politických vězňů 40, Beroun 26601",407
92.500000000000000,"T. G. Masaryka 212, Český Krumlov 38101",49688596,Lékárny Lloyds,"Lékárny Lloyds s.r.o., Lékárna Na Špičáku",T.G. Masaryka 212,38101,Český Krumlov,Český Krumlov,Jihočeský kraj,2007,"T.G. Masaryka 212, Český Krumlov 38101",163
100.000000000000000,"Dolní náměstí 14, Jablonec nad Nisou 46601",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Na Náměstí",Dolní náměstí 14,46601,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,2007,"Dolní náměstí 14, Jablonec nad Nisou 46601",441
100.000000000000000,"Liberecká 20, Jablonec nad Nisou 46601",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Profarma",Liberecká 20,46601,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,2007,"Liberecká 20, Jablonec nad Nisou 46601",650
100.000000000000000,"Nemocniční 15, Jablonec nad Nisou 46601",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna V Nemocnici",Nemocniční 15,46601,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,2007,"Nemocniční 15, Jablonec nad Nisou 46601",469
96.000000000000000,"Podhorská 2500, Jablonec nad Nisou 46601",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Výstaviště",Podhorská 20a,46601,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,2007,"Podhorská 20a, Jablonec nad Nisou 46601",412
100.000000000000000,"Poštovní 8, Jablonec nad Nisou 46601",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Poliklinika",Poštovní 8,46601,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,2007,"Poštovní 8, Jablonec nad Nisou 46601",601
100.000000000000000,"U Kostela 4754, Jablonec nad Nisou 46604",26230071,Dr.Max,"Česká lékárna, a.s., Lékárna Kaufland",U Kostela 4754/37,46604,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,2007,"U Kostela 4754, Jablonec nad Nisou 46604",579
100.000000000000000,"Poštovní 83, Tanvald 46841",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Tanvald",Poštovní 83,46841,Tanvald,Jablonec nad Nisou,Liberecký kraj,2007,"Poštovní 83, Tanvald 46841",154
100.000000000000000,"Husova 64, Jičín 50601",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Na Husovce",Husova 64,50601,Jičín,Jičín,Královéhradecký kraj,2007,"Husova 64, Jičín 50601",380
100.000000000000000,"Kotíkova 1817, Nová Paka 50901",49621173,EUROPHARM,"EUROPHARM a.s., Lékárna Rokytka",Kotíkova 1817,50901,Nová Paka,Jičín,Královéhradecký kraj,2007,"Kotíkova 1817, Nová Paka 50901",138
