adresa,znacka_2015,x,zmena,znacka_1999,nazev_1999,nazev_2007,y,nazev_2015,znacka_2007
Šebetov 67935,,-587274.3531000018,n,,,,-1121755.8658000007,OOVL - Lékárna U Bílého anděla,
"1. Máje 99, Dymokury 28901",,-685215.9175999984,n,,,,-1032862.3841999993,OOVL - L V Aleji,
"1. května 863, Ostrava - Polanka 72525",,-479088.6878999993,n,,,,-1107064.8676000014,Lékárna Polanka,
"1. máje 108, Dolní Benešov 74722",,-481636.37359999865,n,,,,-1091252.8198000006,Lékárna U Mistra Konráda,
"1. máje 14, Moravské Budějovice 67602",,-657822.7630999982,n,,Lékárna,"ZENKAS, s.r.o., Lékárna U Jednorožce",-1169848.1559000015,"Lékárna U Hromádků, s.r.o.",
"1. máje 1425, Rožnov pod Radhoštěm 75661",Dr.Max,-484664.7648999989,y,,,"Lékárny Lloyds s.r.o., Lékárna ROSAVA",-1141984.1898000017,Dr.Max LÉKÁRNA,Lékárny Lloyds
"1. máje 162, Vysoké Veselí 50703",,-667655.6592000015,n,,Lékárna,Lékárna,-1025469.3339999989,Lékárna Vysoké Veselí,
"1. máje 17, Třinec 73961",BENU,-444262.92229999974,y,,,"Trilek a.s., Lékárna Oáza ",-1121079.3359000012,BENU Lékárna,
"1. máje 174, Hrádek u Rokycan 33843",,-803946.5313000008,n,,,,-1076440.7958999984,OOVL - L Farmacum,
"1. máje 354, Liberec 46007",,-688745.0458000004,n,,,,-974492.1416000016,LÉKÁRNA BOHEMIA spol. s r.o.,
"1. čs. armádního sboru 1322, Ostrava - Poruba 70800",,-477675.64400000125,n,,,,-1100850.7525000013,Lékárna U Ludmily,
"1.máje 180, Moravské Budějovice 67602",,-657763.2237000018,n,,,,-1169756.0480999984,Nová lékárna,
"1.máje 788, Litovel 78401",,-558605.4805999994,n,,,,-1108381.9360000007,FREMLOVA APOTHECA s.r.o.,
"17. listopadu 140, Morkovice 76833",,-554039.3363999985,n,,,,-1159390.8016000018,Lékárna,
"17. listopadu 1432, Orlová - Lutyně 73514",Dr.Max,-458768.5291999988,n,,,,-1098918.9831000008,Dr.Max LÉKÁRNA,
"17. listopadu 1790, Ostrava - Poruba 70852",,-479396.0309000015,n,,,,-1101778.7100999989,Lékárna FN Ostrava,
"17. listopadu 23, Boskovice 68001",,-590743.0432999991,n,,,"LEBO, s.r.o., Lékárna Arkleb",-1128668.3486000001,ARKLEB,
